station_name,train_length,test_length,split_time,forecast_method,mape
AlbroPlaceAirportWay,24,24,1,pred_prophet,0.0721994283893089
AlbroPlaceAirportWay,24,168,1,pred_auto.arima,0.0645596641953887
AlbroPlaceAirportWay,24,168,1,pred_forecastHybrid,0.0722196506814327
AlbroPlaceAirportWay,24,168,1,pred_prophet,0.39409601157294
AlbroPlaceAirportWay,24,672,1,pred_auto.arima,0.0548450542851888
AlbroPlaceAirportWay,24,672,1,pred_forecastHybrid,0.0647336474702466
AlbroPlaceAirportWay,24,672,1,pred_prophet,9.0906565621332
AlbroPlaceAirportWay,168,4,1,pred_auto.arima,0.074751196012448
AlbroPlaceAirportWay,168,4,1,pred_forecastHybrid,0.0511318165993149
AlbroPlaceAirportWay,168,4,1,pred_prophet,0.016068498843216
AlbroPlaceAirportWay,168,24,1,pred_auto.arima,0.0668983127230181
AlbroPlaceAirportWay,168,24,1,pred_forecastHybrid,0.0851006803766013
AlbroPlaceAirportWay,168,24,1,pred_prophet,0.0464539849362968
AlbroPlaceAirportWay,168,168,1,pred_auto.arima,0.0942037073691932
AlbroPlaceAirportWay,168,168,1,pred_forecastHybrid,0.232903866912356
AlbroPlaceAirportWay,168,168,1,pred_prophet,0.234402487397115
AlbroPlaceAirportWay,168,672,1,pred_auto.arima,0.100637470504996
AlbroPlaceAirportWay,168,672,1,pred_forecastHybrid,0.921845098658048
AlbroPlaceAirportWay,168,672,1,pred_prophet,0.488613052851081
AlbroPlaceAirportWay,672,4,1,pred_auto.arima,0.165892303777351
AlbroPlaceAirportWay,672,4,1,pred_forecastHybrid,0.0251140357447243
AlbroPlaceAirportWay,672,4,1,pred_prophet,0.00387876289781363
AlbroPlaceAirportWay,672,24,1,pred_auto.arima,0.177483860434067
AlbroPlaceAirportWay,672,24,1,pred_forecastHybrid,0.0249031786950883
AlbroPlaceAirportWay,672,24,1,pred_prophet,0.0693582361564394
AlbroPlaceAirportWay,672,168,1,pred_auto.arima,
AlbroPlaceAirportWay,672,168,1,pred_forecastHybrid,0.0996009654714612
AlbroPlaceAirportWay,672,168,1,pred_prophet,0.0810569795668698
AlbroPlaceAirportWay,672,672,1,pred_auto.arima,
AlbroPlaceAirportWay,672,672,1,pred_forecastHybrid,0.0898566288870079
AlbroPlaceAirportWay,672,672,1,pred_prophet,0.56406493220419
AlbroPlaceAirportWay,4032,4,1,pred_auto.arima,0.697301434519726
