station_name,train_length,test_length,split_time,forecast_method,mape,interval_accuracy
35thAveSW_SWMyrtleSt,168,672,2015-06-02T11:00:00Z,pred_forecastHybrid,0.290995036595635,1
35thAveSW_SWMyrtleSt,168,672,2015-06-02T11:00:00Z,pred_prophet,0.649856445815148,0.0148809523809524
35thAveSW_SWMyrtleSt,672,4,2015-04-06T01:00:00Z,pred_auto.arima,0.000894099704925383,1
35thAveSW_SWMyrtleSt,672,4,2015-04-06T01:00:00Z,pred_forecastHybrid,0.00429877582449761,1
35thAveSW_SWMyrtleSt,672,4,2015-04-06T01:00:00Z,pred_prophet,0.00873926236797277,1
35thAveSW_SWMyrtleSt,672,4,2015-01-18T09:00:00Z,pred_auto.arima,0.00724869286824562,1
35thAveSW_SWMyrtleSt,672,4,2015-01-18T09:00:00Z,pred_forecastHybrid,0.00537196203750524,1
35thAveSW_SWMyrtleSt,672,4,2015-01-18T09:00:00Z,pred_prophet,0.00739519847296891,1
35thAveSW_SWMyrtleSt,672,4,2014-04-24T12:00:00Z,pred_auto.arima,0.0305134795302693,1
35thAveSW_SWMyrtleSt,672,4,2014-04-24T12:00:00Z,pred_forecastHybrid,0.022150973612252,1
35thAveSW_SWMyrtleSt,672,4,2014-04-24T12:00:00Z,pred_prophet,0.106186266988639,1
35thAveSW_SWMyrtleSt,672,24,2015-11-13T18:00:00Z,pred_auto.arima,0.0188876450968324,0.875
35thAveSW_SWMyrtleSt,672,24,2015-11-13T18:00:00Z,pred_forecastHybrid,0.0225879138227448,1
35thAveSW_SWMyrtleSt,672,24,2015-11-13T18:00:00Z,pred_prophet,0.0193282764083312,0.416666666666667
35thAveSW_SWMyrtleSt,672,24,2015-05-13T08:00:00Z,pred_auto.arima,0.0281533184493761,1
35thAveSW_SWMyrtleSt,672,24,2015-05-13T08:00:00Z,pred_forecastHybrid,0.00984633475777446,1
35thAveSW_SWMyrtleSt,672,24,2015-05-13T08:00:00Z,pred_prophet,0.0348916516148851,0.25
35thAveSW_SWMyrtleSt,672,24,2015-02-09T07:00:00Z,pred_auto.arima,0.0156231621944968,1
35thAveSW_SWMyrtleSt,672,24,2015-02-09T07:00:00Z,pred_forecastHybrid,0.0176362312838818,1
35thAveSW_SWMyrtleSt,672,24,2015-02-09T07:00:00Z,pred_prophet,0.00697966092211102,1
35thAveSW_SWMyrtleSt,672,168,2015-10-27T15:00:00Z,pred_auto.arima,0.0194605368820577,1
35thAveSW_SWMyrtleSt,672,168,2015-10-27T15:00:00Z,pred_forecastHybrid,0.0393394536820031,1
35thAveSW_SWMyrtleSt,672,168,2015-10-27T15:00:00Z,pred_prophet,0.0688518696741819,0.339285714285714
35thAveSW_SWMyrtleSt,672,168,2015-02-28T01:00:00Z,pred_auto.arima,0.0280158854565474,0.910714285714286
35thAveSW_SWMyrtleSt,672,168,2015-02-28T01:00:00Z,pred_forecastHybrid,0.0261757614979004,1
35thAveSW_SWMyrtleSt,672,168,2015-02-28T01:00:00Z,pred_prophet,0.018120928605424,0.952380952380952
35thAveSW_SWMyrtleSt,672,168,2015-04-17T20:00:00Z,pred_auto.arima,0.0350306653366753,0.964285714285714
35thAveSW_SWMyrtleSt,672,168,2015-04-17T20:00:00Z,pred_forecastHybrid,0.0303916912912281,1
35thAveSW_SWMyrtleSt,672,168,2015-04-17T20:00:00Z,pred_prophet,0.0621219623996606,0.553571428571429
35thAveSW_SWMyrtleSt,672,672,2014-09-27T08:00:00Z,pred_auto.arima,0.358031956894425,1
35thAveSW_SWMyrtleSt,672,672,2014-09-27T08:00:00Z,pred_forecastHybrid,0.324579892590717,1
35thAveSW_SWMyrtleSt,672,672,2014-09-27T08:00:00Z,pred_prophet,0.334857916973301,0.741071428571429
35thAveSW_SWMyrtleSt,672,672,2015-04-08T08:00:00Z,pred_auto.arima,0.0681988474006818,0.980654761904762
35thAveSW_SWMyrtleSt,672,672,2015-04-08T08:00:00Z,pred_forecastHybrid,0.0772070238918736,0.992559523809524
35thAveSW_SWMyrtleSt,672,672,2015-04-08T08:00:00Z,pred_prophet,0.0285692257749092,0.971726190476191
35thAveSW_SWMyrtleSt,672,672,2015-01-03T10:00:00Z,pred_auto.arima,0.126127020633454,0.886904761904762
35thAveSW_SWMyrtleSt,672,672,2015-01-03T10:00:00Z,pred_forecastHybrid,0.141684391663724,0.982142857142857
35thAveSW_SWMyrtleSt,672,672,2015-01-03T10:00:00Z,pred_prophet,0.365912993539297,0.916666666666667
35thAveSW_SWMyrtleSt,2688,4,2015-01-15T14:00:00Z,pred_auto.arima,0.00062280981105692,1
35thAveSW_SWMyrtleSt,2688,4,2015-01-15T14:00:00Z,pred_forecastHybrid,0.0043904990240451,1
35thAveSW_SWMyrtleSt,2688,4,2015-01-15T14:00:00Z,pred_prophet,0.0560432299960923,1
35thAveSW_SWMyrtleSt,2688,4,2014-06-25T23:00:00Z,pred_auto.arima,0.00735738435215785,1
